iter	Passed	Remaining
241	387	1213
242	388	1210
243	389	1206
244	390	1202
245	390	1198
246	391	1194
247	392	1190
248	393	1186
249	394	1182
250	394	1178
251	395	1174
252	396	1171
253	397	1167
254	398	1163
255	399	1160
256	400	1156
257	400	1152
258	401	1149
259	402	1145
260	403	1141
261	404	1138
262	405	1134
263	405	1131
264	406	1127
265	407	1124
266	408	1121
267	409	1117
268	410	1114
269	410	1110
270	411	1107
271	412	1104
272	413	1100
273	414	1097
274	414	1094
275	415	1090
276	416	1087
277	417	1084
278	418	1081
279	419	1078
280	420	1074
281	420	1071
282	421	1068
283	422	1065
284	423	1062
285	424	1059
286	425	1056
287	425	1053
288	426	1050
289	427	1046
290	428	1043
291	429	1040
292	430	1037
293	430	1034
294	431	1031
295	432	1029
296	433	1026
297	434	1023
298	435	1020
299	436	1017
300	436	1014
301	437	1011
302	438	1008
303	439	1006
304	440	1003
305	441	1000
306	442	997
307	442	995
308	443	992
309	444	989
310	445	986
311	446	984
312	447	981
313	447	978
314	448	975
315	449	973
316	450	970
317	451	967
318	452	965
319	452	962
320	453	959
321	454	957
322	455	954
323	456	951
324	457	949
325	457	946
326	458	944
327	459	941
328	460	939
329	461	936
330	462	934
331	463	931
332	463	929
333	464	926
334	465	924
335	466	922
336	467	919
337	468	916
338	469	914
339	469	912
340	470	909
341	471	907
342	472	905
343	473	902
344	474	900
345	474	897
346	475	895
347	476	893
348	477	890
349	478	888
350	479	885
351	479	883
352	480	881
353	481	878
354	482	876
355	483	874
356	487	877
357	489	878
358	492	879
359	494	879
360	497	879
361	498	879
362	500	878
363	502	877
364	503	876
365	505	875
366	506	874
367	508	872
368	509	871
369	510	869
370	512	868
371	513	866
372	514	864
373	515	862
374	516	861
375	517	859
376	518	857
377	519	855
378	520	853
379	521	851
380	522	848
381	523	846
382	524	844
383	525	842
384	526	840
385	526	838
386	527	836
387	528	834
388	529	831
389	530	829
390	531	827
391	532	825
392	532	823
393	533	821
394	534	818
395	535	816
396	536	814
397	537	812
398	538	810
399	538	808
400	539	806
401	540	804
402	541	802
403	542	800
404	543	798
405	544	796
406	545	794
407	545	791
408	546	789
409	547	787
410	548	785
411	548	783
412	549	781
413	550	779
414	551	777
415	552	775
416	553	773
417	553	771
418	554	769
419	555	767
420	556	765
421	557	763
422	558	761
423	558	759
424	559	757
425	560	755
426	561	753
427	562	751
428	563	749
429	563	747
430	564	745
431	565	743
432	566	741
433	567	739
434	567	737
435	568	735
436	569	733
437	570	732
438	571	730
439	572	728
440	572	726
441	573	724
442	574	722
443	575	720
444	576	719
445	577	717
446	578	715
447	579	713
448	580	711
449	580	710
450	581	708
451	582	706
452	583	704
453	584	702
454	585	700
455	585	699
456	586	697
457	587	695
458	588	693
459	589	691
460	590	689
461	590	688
462	591	686
463	592	684
464	593	682
465	594	680
466	594	679
467	595	677
468	596	675
469	597	673
470	598	672
471	599	670
472	599	668
473	600	666
474	601	664
475	602	663
476	603	661
477	604	659
478	604	658
479	605	656
480	606	654
481	607	652
482	608	651
483	609	649
484	610	647
485	610	646
486	611	644
487	612	642
488	613	641
489	614	639
490	615	637
491	616	636
492	616	634
493	617	632
494	618	630
495	619	629
496	620	627
497	620	625
498	621	624
499	622	622
500	623	621
501	624	619
502	625	617
503	626	616
504	626	614
505	627	612
506	628	611
507	629	609
508	630	607
509	630	606
510	631	604
511	632	603
512	633	601
513	634	599
514	635	598
515	635	596
516	636	594
517	637	593
518	638	591
519	639	590
520	640	588
521	640	586
522	641	585
523	642	583
524	643	582
525	644	580
526	645	578
527	645	577
528	646	575
529	647	574
530	648	572
531	649	571
532	650	569
533	651	568
534	651	566
535	652	565
536	653	563
537	654	561
538	655	560
539	656	558
540	656	557
541	657	555
542	658	554
543	659	552
544	660	551
545	661	549
546	662	548
547	663	546
548	663	545
549	664	543
550	665	542
551	666	540
552	667	539
553	668	538
554	669	536
555	670	535
556	670	533
557	671	532
558	672	530
559	673	529
560	674	527
561	674	526
562	675	524
563	676	523
564	677	521
565	678	520
566	679	518
567	679	517
568	680	515
569	681	514
570	682	512
571	683	511
572	684	509
573	684	508
574	685	506
575	686	505
576	687	503
577	688	502
578	689	501
579	689	499
580	690	498
581	691	496
582	692	495
583	693	493
584	694	492
585	694	490
586	695	489
587	696	488
588	697	486
589	698	485
590	699	483
591	700	482
592	700	480
593	701	479
594	702	478
595	703	476
596	704	475
597	704	473
598	705	472
599	706	471
600	707	469
601	708	468
602	709	466
603	709	465
604	710	464
605	711	462
606	712	461
607	713	459
608	714	458
609	715	457
610	715	455
611	716	454
612	717	452
613	718	451
614	719	450
615	719	448
616	720	447
617	721	446
618	722	444
619	723	443
620	724	441
621	725	440
622	725	439
623	726	437
624	727	436
625	728	435
626	729	433
627	729	432
628	730	431
629	731	429
630	732	428
631	733	426
632	734	425
633	734	424
634	735	422
635	736	421
636	737	420
637	738	418
638	738	417
639	739	416
640	740	414
641	741	413
642	742	412
643	743	410
644	743	409
645	744	408
646	745	406
647	746	405
648	747	404
649	748	402
650	748	401
651	749	400
652	750	398
653	751	397
654	752	396
655	753	394
656	753	393
657	754	392
658	755	390
659	756	389
660	757	388
661	757	386
662	758	385
663	759	384
664	760	383
665	761	381
666	762	380
667	763	379
668	763	377
669	764	376
670	765	375
671	766	374
672	767	372
673	768	371
674	769	370
675	770	369
676	770	367
677	771	366
678	772	365
679	773	363
680	774	362
681	775	361
682	775	360
683	776	358
684	777	357
685	778	356
686	779	355
687	780	353
688	781	352
689	782	351
690	782	350
691	783	348
692	784	347
693	785	346
694	786	345
695	787	343
696	788	342
697	789	341
698	789	340
699	790	338
700	791	337
701	792	336
702	793	335
703	794	333
704	795	332
705	795	331
706	796	330
707	797	328
708	798	327
709	799	326
710	799	325
711	800	323
712	801	322
713	802	321
714	803	320
715	804	318
716	804	317
717	805	316
718	806	315
719	807	313
720	808	312
721	809	311
722	809	310
723	810	309
724	811	307
725	812	306
726	813	305
727	814	304
728	814	302
729	815	301
730	816	300
731	817	299
732	818	298
733	819	296
734	820	295
735	820	294
736	821	293
737	822	292
738	823	290
739	824	289
740	825	288
741	825	287
742	826	285
743	827	284
744	828	283
745	829	282
746	830	281
747	830	279
748	831	278
749	832	277
750	833	276
751	834	275
752	835	273
753	836	272
754	836	271
755	837	270
756	838	269
757	839	268
758	840	266
759	841	265
760	842	264
761	842	263
762	843	262
763	844	260
764	845	259
765	846	258
766	846	257
767	847	256
768	848	254
769	849	253
770	850	252
771	851	251
772	851	250
773	852	248
774	853	247
775	854	246
776	855	245
777	855	244
778	856	243
779	857	241
780	858	240
781	859	239
782	860	238
783	861	237
784	862	236
785	862	234
786	863	233
787	864	232
788	865	231
789	866	230
790	867	229
791	867	227
792	868	226
793	869	225
794	870	224
795	871	223
796	872	222
797	873	221
798	874	219
799	874	218
800	875	217
801	876	216
802	877	215
803	878	214
804	878	212
805	879	211
806	880	210
807	881	209
808	882	208
809	883	207
810	883	206
811	884	204
812	885	203
813	886	202
814	887	201
815	888	200
816	889	199
817	889	197
818	890	196
819	891	195
820	892	194
821	893	193
822	893	192
823	894	191
824	895	189
825	896	188
826	897	187
827	898	186
828	899	185
829	899	184
830	900	183
831	901	182
832	902	180
833	903	179
834	903	178
835	904	177
836	905	176
837	906	175
838	907	174
839	908	172
840	908	171
841	909	170
842	910	169
843	911	168
844	911	167
845	912	166
846	913	165
847	914	163
848	915	162
849	915	161
850	916	160
851	917	159
852	918	158
853	919	157
854	919	156
855	920	154
856	921	153
857	922	152
858	923	151
859	924	150
860	924	149
861	925	148
862	926	147
863	927	145
864	928	144
865	928	143
866	929	142
867	930	141
868	931	140
869	932	139
870	933	138
871	933	137
872	934	135
873	935	134
874	936	133
875	937	132
876	938	131
877	938	130
878	939	129
879	940	128
880	941	127
881	942	126
882	942	124
883	943	123
884	944	122
885	945	121
886	946	120
887	947	119
888	948	118
889	948	117
890	949	116
891	950	115
892	951	113
893	952	112
894	952	111
895	953	110
896	954	109
897	955	108
898	956	107
899	957	106
900	958	105
901	958	104
902	959	103
903	960	101
904	961	100
905	962	99
906	962	98
907	963	97
908	964	96
909	965	95
910	966	94
911	966	93
912	967	92
913	968	91
914	969	90
915	970	88
916	971	87
917	971	86
918	972	85
919	973	84
920	974	83
921	974	82
922	975	81
923	976	80
924	977	79
925	978	78
926	979	77
927	979	76
928	980	74
929	981	73
930	982	72
931	983	71
932	983	70
933	984	69
934	985	68
935	986	67
936	987	66
937	987	65
938	988	64
939	989	63
940	990	62
941	991	61
942	992	59
943	993	58
944	993	57
945	994	56
946	995	55
947	996	54
948	997	53
949	998	52
950	998	51
951	999	50
952	1000	49
953	1001	48
954	1002	47
955	1003	46
956	1004	45
957	1004	44
958	1005	42
959	1006	41
960	1007	40
961	1008	39
962	1009	38
963	1010	37
964	1010	36
965	1011	35
966	1012	34
967	1013	33
968	1014	32
969	1015	31
970	1015	30
971	1016	29
972	1017	28
973	1018	27
974	1019	26
975	1020	25
976	1021	24
977	1021	22
978	1022	21
979	1023	20
980	1024	19
981	1025	18
982	1026	17
983	1026	16
984	1027	15
985	1028	14
986	1029	13
987	1030	12
988	1031	11
989	1031	10
990	1032	9
991	1033	8
992	1034	7
993	1035	6
994	1036	5
995	1036	4
996	1037	3
997	1038	2
998	1039	1
999	1040	0
